sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
CGPLH547P_1,EGAN00003221021,SAMEA9240909,EGAR00002846415,EGAX00002471900,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH551P_1,EGAN00003221137,SAMEA9241025,EGAR00002846416,EGAX00002471901,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH571P_1,EGAN00003220511,SAMEA9240398,EGAR00002846417,EGAX00002471902,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH572P_1,EGAN00003220507,SAMEA9240394,EGAR00002846418,EGAX00002471903,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH573P_1,EGAN00003220506,SAMEA9240393,EGAR00002846419,EGAX00002471904,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH574P_1,EGAN00003220505,SAMEA9240392,EGAR00002846420,EGAX00002471905,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH575P_1,EGAN00003220519,SAMEA9240406,EGAR00002846421,EGAX00002471906,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH576P_1,EGAN00003220523,SAMEA9240410,EGAR00002846422,EGAX00002471907,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH577P_1,EGAN00003220522,SAMEA9240409,EGAR00002846423,EGAX00002471908,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH577P_2,EGAN00003220409,SAMEA9240300,EGAR00002846424,EGAX00002471909,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH578P_1,EGAN00003220521,SAMEA9240408,EGAR00002846425,EGAX00002471910,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH579P_1,EGAN00003220520,SAMEA9240407,EGAR00002846426,EGAX00002471911,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH580P_1,EGAN00003220517,SAMEA9240404,EGAR00002846427,EGAX00002471912,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH581P_1,EGAN00003220516,SAMEA9240403,EGAR00002846428,EGAX00002471913,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH582P_1,EGAN00003220515,SAMEA9240402,EGAR00002846429,EGAX00002471914,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH583P_1,EGAN00003220514,SAMEA9240401,EGAR00002846430,EGAX00002471915,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH584P_1,EGAN00003220518,SAMEA9240405,EGAR00002846431,EGAX00002471916,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH585P_1,EGAN00003220537,SAMEA9240425,EGAR00002846432,EGAX00002471917,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH586P_1,EGAN00003220536,SAMEA9240424,EGAR00002846433,EGAX00002471918,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH587P_1,EGAN00003220354,SAMEA9240241,EGAR00002846434,EGAX00002471919,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH588P_1,EGAN00003220360,SAMEA9240247,EGAR00002846435,EGAX00002471920,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH589P_1,EGAN00003220358,SAMEA9240245,EGAR00002846436,EGAX00002471921,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH590P_1,EGAN00003220362,SAMEA9240249,EGAR00002846437,EGAX00002471922,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH591P_1,EGAN00003220889,SAMEA9240777,EGAR00002846438,EGAX00002471923,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH592P_1,EGAN00003220888,SAMEA9240776,EGAR00002846439,EGAX00002471924,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH593P_1,EGAN00003220891,SAMEA9240779,EGAR00002846440,EGAX00002471925,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH594P_1,EGAN00003220595,SAMEA9240483,EGAR00002846441,EGAX00002471926,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH595P_1,EGAN00003220593,SAMEA9240481,EGAR00002846442,EGAX00002471927,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH596P_1,EGAN00003220592,SAMEA9240480,EGAR00002846443,EGAX00002471928,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH597P_1,EGAN00003220601,SAMEA9240489,EGAR00002846444,EGAX00002471929,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH598P_1,EGAN00003220600,SAMEA9240488,EGAR00002846445,EGAX00002471930,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH599P_1,EGAN00003220599,SAMEA9240487,EGAR00002846446,EGAX00002471931,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH600P_1,EGAN00003220598,SAMEA9240486,EGAR00002846447,EGAX00002471932,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH601P_1,EGAN00003220597,SAMEA9240485,EGAR00002846448,EGAX00002471933,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH602P_1,EGAN00003220581,SAMEA9240469,EGAR00002846449,EGAX00002471934,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH603P_1,EGAN00003220580,SAMEA9240468,EGAR00002846450,EGAX00002471935,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH604P_1,EGAN00003220579,SAMEA9240467,EGAR00002846451,EGAX00002471936,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH605P_1,EGAN00003220578,SAMEA9240466,EGAR00002846452,EGAX00002471937,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH606P_1,EGAN00003220577,SAMEA9240465,EGAR00002846453,EGAX00002471938,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH607P_1,EGAN00003220564,SAMEA9240452,EGAR00002846454,EGAX00002471939,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH608P_1,EGAN00003220980,SAMEA9240868,EGAR00002846455,EGAX00002471940,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH610P_1,EGAN00003220562,SAMEA9240450,EGAR00002846456,EGAX00002471941,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH611P_1,EGAN00003220561,SAMEA9240449,EGAR00002846457,EGAX00002471942,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH612P_1,EGAN00003220560,SAMEA9240448,EGAR00002846458,EGAX00002471943,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH613P_1,EGAN00003220979,SAMEA9240867,EGAR00002846459,EGAX00002471944,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH614P_1,EGAN00003221164,SAMEA9241052,EGAR00002846460,EGAX00002471945,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH615P_1,EGAN00003221168,SAMEA9241056,EGAR00002846461,EGAX00002471946,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH616P_1,EGAN00003221169,SAMEA9241057,EGAR00002846462,EGAX00002471947,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH616P_2,EGAN00003221166,SAMEA9241054,EGAR00002846463,EGAX00002471948,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH619P_1,EGAN00003221167,SAMEA9241055,EGAR00002846464,EGAX00002471949,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH620P_1,EGAN00003220978,SAMEA9240866,EGAR00002846465,EGAX00002471950,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH621P_1,EGAN00003221160,SAMEA9241048,EGAR00002846466,EGAX00002471951,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH622P_1,EGAN00003221011,SAMEA9240899,EGAR00002846467,EGAX00002471952,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH623P_1,EGAN00003221047,SAMEA9240935,EGAR00002846468,EGAX00002471953,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH624P_1,EGAN00003220842,SAMEA9240730,EGAR00002846469,EGAX00002471954,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH627P_2,EGAN00003221136,SAMEA9241024,EGAR00002846470,EGAX00002471955,EGAS00001005340,ENA-CHECKLIST=ERC000026
