sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
CGPLH663P_1,EGAN00003220944,SAMEA9240832,EGAR00002846503,EGAX00002471988,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH664P_1,EGAN00003220945,SAMEA9240833,EGAR00002846504,EGAX00002471989,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH665P_1,EGAN00003220942,SAMEA9240830,EGAR00002846505,EGAX00002471990,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH666P_1,EGAN00003220485,SAMEA9240385,EGAR00002846506,EGAX00002471991,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH667P_1,EGAN00003220488,SAMEA9240844,EGAR00002846507,EGAX00002471992,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH668P_1,EGAN00003220481,SAMEA9240380,EGAR00002846508,EGAX00002471993,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH669P_1,EGAN00003220818,SAMEA9240706,EGAR00002846509,EGAX00002471994,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH670P_1,EGAN00003220817,SAMEA9240705,EGAR00002846510,EGAX00002471995,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH671P_1,EGAN00003220816,SAMEA9240704,EGAR00002846511,EGAX00002471996,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH672P_1,EGAN00003220799,SAMEA9240687,EGAR00002846512,EGAX00002471997,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH673P_1,EGAN00003220798,SAMEA9240686,EGAR00002846513,EGAX00002471998,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH674P_1,EGAN00003220797,SAMEA9240685,EGAR00002846514,EGAX00002471999,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH675P_1,EGAN00003220796,SAMEA9240684,EGAR00002846515,EGAX00002472000,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH676P_1,EGAN00003221085,SAMEA9240973,EGAR00002846516,EGAX00002472001,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH677P_1,EGAN00003221097,SAMEA9240985,EGAR00002846517,EGAX00002472002,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH678P_1,EGAN00003221110,SAMEA9240998,EGAR00002846518,EGAX00002472003,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH679P_1,EGAN00003221112,SAMEA9241000,EGAR00002846519,EGAX00002472004,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH680P_1,EGAN00003221111,SAMEA9240999,EGAR00002846520,EGAX00002472005,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH681P_1,EGAN00003221114,SAMEA9241002,EGAR00002846521,EGAX00002472006,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH683P_1,EGAN00003220569,SAMEA9240457,EGAR00002846522,EGAX00002472007,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH685P_1,EGAN00003220904,SAMEA9240792,EGAR00002846523,EGAX00002472008,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH686P_1,EGAN00003220902,SAMEA9240790,EGAR00002846524,EGAX00002472009,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH687P_1,EGAN00003220900,SAMEA9240788,EGAR00002846525,EGAX00002472010,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH688P_1,EGAN00003220371,SAMEA9240258,EGAR00002846526,EGAX00002472011,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH689P_1,EGAN00003220373,SAMEA9240260,EGAR00002846527,EGAX00002472012,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH690P_1,EGAN00003220375,SAMEA9240262,EGAR00002846528,EGAX00002472013,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH691P_1,EGAN00003220901,SAMEA9240789,EGAR00002846529,EGAX00002472014,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH692P_1,EGAN00003220903,SAMEA9240791,EGAR00002846530,EGAX00002472015,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH693P_1,EGAN00003220684,SAMEA9240572,EGAR00002846531,EGAX00002472016,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH694P_1,EGAN00003220682,SAMEA9240570,EGAR00002846532,EGAX00002472017,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH695P_1,EGAN00003220680,SAMEA9240568,EGAR00002846533,EGAX00002472018,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH696P_1,EGAN00003220677,SAMEA9240565,EGAR00002846534,EGAX00002472019,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH697P_1,EGAN00003220674,SAMEA9240562,EGAR00002846535,EGAX00002472020,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH698P_1,EGAN00003220474,SAMEA9240373,EGAR00002846536,EGAX00002472021,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH699P_1,EGAN00003220473,SAMEA9240371,EGAR00002846537,EGAX00002472022,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH700P_1,EGAN00003220477,SAMEA9240376,EGAR00002846538,EGAX00002472023,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH701P_1,EGAN00003220943,SAMEA9240831,EGAR00002846539,EGAX00002472024,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH702P_1,EGAN00003220941,SAMEA9240829,EGAR00002846540,EGAX00002472025,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH704P_1,EGAN00003220703,SAMEA9240591,EGAR00002846541,EGAX00002472026,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH705P_1,EGAN00003220498,SAMEA9240855,EGAR00002846542,EGAX00002472027,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH706P_1,EGAN00003220497,SAMEA9240854,EGAR00002846543,EGAX00002472028,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH707P_1,EGAN00003220501,SAMEA9240388,EGAR00002846544,EGAX00002472029,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH708P_1,EGAN00003220606,SAMEA9240494,EGAR00002846545,EGAX00002472030,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH709P_1,EGAN00003220603,SAMEA9240491,EGAR00002846546,EGAX00002472031,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH710P_1,EGAN00003220604,SAMEA9240492,EGAR00002846547,EGAX00002472032,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH711P_1,EGAN00003220608,SAMEA9240496,EGAR00002846548,EGAX00002472033,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH712P_1,EGAN00003220611,SAMEA9240499,EGAR00002846549,EGAX00002472034,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH713P_1,EGAN00003220618,SAMEA9240506,EGAR00002846550,EGAX00002472035,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH714P_1,EGAN00003220675,SAMEA9240563,EGAR00002846551,EGAX00002472036,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH715P_1,EGAN00003220678,SAMEA9240566,EGAR00002846552,EGAX00002472037,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH716P_1,EGAN00003220688,SAMEA9240576,EGAR00002846553,EGAX00002472038,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH717P_1,EGAN00003220689,SAMEA9240577,EGAR00002846554,EGAX00002472039,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH718P_1,EGAN00003220701,SAMEA9240589,EGAR00002846555,EGAX00002472040,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH719P_1,EGAN00003220704,SAMEA9240592,EGAR00002846556,EGAX00002472041,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH720P_1,EGAN00003220345,SAMEA9240232,EGAR00002846557,EGAX00002472042,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH721P_1,EGAN00003220346,SAMEA9240233,EGAR00002846558,EGAX00002472043,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH722P_1,EGAN00003220347,SAMEA9240234,EGAR00002846559,EGAX00002472044,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH723P_1,EGAN00003220351,SAMEA9240238,EGAR00002846560,EGAX00002472045,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH724P_1,EGAN00003220359,SAMEA9240246,EGAR00002846561,EGAX00002472046,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH725P_1,EGAN00003220361,SAMEA9240248,EGAR00002846562,EGAX00002472047,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH726P_1,EGAN00003220940,SAMEA9240828,EGAR00002846563,EGAX00002472048,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH727P_1,EGAN00003220937,SAMEA9240825,EGAR00002846564,EGAX00002472049,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH728P_1,EGAN00003220685,SAMEA9240573,EGAR00002846565,EGAX00002472050,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH729P_1,EGAN00003221058,SAMEA9240946,EGAR00002846566,EGAX00002472051,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH730P_1,EGAN00003221057,SAMEA9240945,EGAR00002846567,EGAX00002472052,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH731P_1,EGAN00003221060,SAMEA9240948,EGAR00002846568,EGAX00002472053,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH732P_1,EGAN00003221059,SAMEA9240947,EGAR00002846569,EGAX00002472054,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH733P_1,EGAN00003220574,SAMEA9240462,EGAR00002846570,EGAX00002472055,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH734P_1,EGAN00003220966,SAMEA9240381,EGAR00002846571,EGAX00002472056,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH735P_1,EGAN00003220687,SAMEA9240575,EGAR00002846572,EGAX00002472057,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH736P_1,EGAN00003220710,SAMEA9240598,EGAR00002846573,EGAX00002472058,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH737P_1,EGAN00003221043,SAMEA9240931,EGAR00002846574,EGAX00002472059,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH738P_1,EGAN00003220572,SAMEA9240460,EGAR00002846575,EGAX00002472060,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH739P_1,EGAN00003220571,SAMEA9240459,EGAR00002846576,EGAX00002472061,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH740P_1,EGAN00003220590,SAMEA9240478,EGAR00002846577,EGAX00002472062,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH741P_1,EGAN00003220589,SAMEA9240477,EGAR00002846578,EGAX00002472063,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH742P_1,EGAN00003220588,SAMEA9240476,EGAR00002846579,EGAX00002472064,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH743P_1,EGAN00003220763,SAMEA9240651,EGAR00002846580,EGAX00002472065,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH744P_1,EGAN00003221162,SAMEA9241050,EGAR00002846581,EGAX00002472066,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH745P_1,EGAN00003221122,SAMEA9241010,EGAR00002846582,EGAX00002472067,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH746P_1,EGAN00003221121,SAMEA9241009,EGAR00002846583,EGAX00002472068,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH747P_1,EGAN00003221120,SAMEA9241008,EGAR00002846584,EGAX00002472069,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH748P_1,EGAN00003220435,SAMEA9240328,EGAR00002846585,EGAX00002472070,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH749P_1,EGAN00003220430,SAMEA9240323,EGAR00002846586,EGAX00002472071,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH750P_1,EGAN00003220429,SAMEA9240322,EGAR00002846587,EGAX00002472072,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH751P_1,EGAN00003220432,SAMEA9240325,EGAR00002846588,EGAX00002472073,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH752P_1,EGAN00003220431,SAMEA9240324,EGAR00002846589,EGAX00002472074,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH753P_1,EGAN00003220437,SAMEA9240330,EGAR00002846590,EGAX00002472075,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH754P_1,EGAN00003220420,SAMEA9240311,EGAR00002846591,EGAX00002472076,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH755P_1,EGAN00003220418,SAMEA9240309,EGAR00002846592,EGAX00002472077,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH756P_1,EGAN00003220417,SAMEA9240308,EGAR00002846593,EGAX00002472078,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH757P_1,EGAN00003220428,SAMEA9240321,EGAR00002846594,EGAX00002472079,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH758P_1,EGAN00003220427,SAMEA9240319,EGAR00002846595,EGAX00002472080,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH759P_1,EGAN00003221080,SAMEA9240968,EGAR00002846596,EGAX00002472081,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH760P_1,EGAN00003221079,SAMEA9240967,EGAR00002846597,EGAX00002472082,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH761P_1,EGAN00003221078,SAMEA9240966,EGAR00002846598,EGAX00002472083,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH762P_1,EGAN00003221092,SAMEA9240980,EGAR00002846599,EGAX00002472084,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH763P_1,EGAN00003221091,SAMEA9240979,EGAR00002846600,EGAX00002472085,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH765P_1,EGAN00003221090,SAMEA9240978,EGAR00002846601,EGAX00002472086,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH766P_1,EGAN00003221089,SAMEA9240977,EGAR00002846602,EGAX00002472087,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH767P_1,EGAN00003221107,SAMEA9240995,EGAR00002846603,EGAX00002472088,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH768P_1,EGAN00003220947,SAMEA9240835,EGAR00002846604,EGAX00002472089,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH769P_1,EGAN00003220946,SAMEA9240834,EGAR00002846605,EGAX00002472090,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH805P,EGAN00003220932,SAMEA9240820,EGAR00002846606,EGAX00002472091,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH806P,EGAN00003220927,SAMEA9240815,EGAR00002846607,EGAX00002472092,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH807P,EGAN00003220925,SAMEA9240813,EGAR00002846608,EGAX00002472093,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH808P,EGAN00003220931,SAMEA9240819,EGAR00002846609,EGAX00002472094,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH809P,EGAN00003220929,SAMEA9240817,EGAR00002846610,EGAX00002472095,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH811P,EGAN00003220875,SAMEA9240763,EGAR00002846611,EGAX00002472096,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH812P,EGAN00003220874,SAMEA9240762,EGAR00002846612,EGAX00002472097,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH813P,EGAN00003220877,SAMEA9240765,EGAR00002846613,EGAX00002472098,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH814P,EGAN00003220876,SAMEA9240764,EGAR00002846614,EGAX00002472099,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH815P,EGAN00003220872,SAMEA9240760,EGAR00002846615,EGAX00002472100,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH816P,EGAN00003220576,SAMEA9240464,EGAR00002846616,EGAX00002472101,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH817P,EGAN00003220575,SAMEA9240463,EGAR00002846617,EGAX00002472102,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH818P,EGAN00003220587,SAMEA9240475,EGAR00002846618,EGAX00002472103,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH819P,EGAN00003220586,SAMEA9240474,EGAR00002846619,EGAX00002472104,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH820P,EGAN00003220585,SAMEA9240473,EGAR00002846620,EGAX00002472105,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH821P,EGAN00003220584,SAMEA9240472,EGAR00002846621,EGAX00002472106,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH822P,EGAN00003220583,SAMEA9240471,EGAR00002846622,EGAX00002472107,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH823P,EGAN00003220582,SAMEA9240470,EGAR00002846623,EGAX00002472108,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH824P,EGAN00003220573,SAMEA9240461,EGAR00002846624,EGAX00002472109,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH825P,EGAN00003220310,SAMEA9240197,EGAR00002846625,EGAX00002472110,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH826P,EGAN00003220306,SAMEA9240193,EGAR00002846626,EGAX00002472111,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH827P,EGAN00003221008,SAMEA9240896,EGAR00002846627,EGAX00002472112,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH828P,EGAN00003220983,SAMEA9240871,EGAR00002846628,EGAX00002472113,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH829P,EGAN00003220308,SAMEA9240195,EGAR00002846629,EGAX00002472114,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH830P,EGAN00003221046,SAMEA9240934,EGAR00002846630,EGAX00002472115,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH831P,EGAN00003220988,SAMEA9240876,EGAR00002846631,EGAX00002472116,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH832P,EGAN00003220987,SAMEA9240875,EGAR00002846632,EGAX00002472117,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH833P,EGAN00003221048,SAMEA9240936,EGAR00002846633,EGAX00002472118,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH834P,EGAN00003221001,SAMEA9240889,EGAR00002846634,EGAX00002472119,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH835P,EGAN00003220993,SAMEA9240881,EGAR00002846635,EGAX00002472120,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH836P,EGAN00003220990,SAMEA9240878,EGAR00002846636,EGAX00002472121,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH837P,EGAN00003220972,SAMEA9240860,EGAR00002846637,EGAX00002472122,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH838P,EGAN00003220970,SAMEA9240858,EGAR00002846638,EGAX00002472123,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH839P,EGAN00003220969,SAMEA9240857,EGAR00002846639,EGAX00002472124,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH840P,EGAN00003220977,SAMEA9240865,EGAR00002846640,EGAX00002472125,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH841P,EGAN00003221148,SAMEA9241036,EGAR00002846641,EGAX00002472126,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH843P,EGAN00003221155,SAMEA9241043,EGAR00002846642,EGAX00002472127,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH844P,EGAN00003221158,SAMEA9241046,EGAR00002846643,EGAX00002472128,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH845P,EGAN00003221150,SAMEA9241038,EGAR00002846644,EGAX00002472129,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH846P,EGAN00003221153,SAMEA9241041,EGAR00002846645,EGAX00002472130,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH847P,EGAN00003221143,SAMEA9241031,EGAR00002846646,EGAX00002472131,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH848P,EGAN00003221165,SAMEA9241053,EGAR00002846647,EGAX00002472132,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH849P,EGAN00003221163,SAMEA9241051,EGAR00002846648,EGAX00002472133,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH851P,EGAN00003220976,SAMEA9240864,EGAR00002846649,EGAX00002472134,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH853P,EGAN00003220975,SAMEA9240863,EGAR00002846650,EGAX00002472135,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH857P,EGAN00003220974,SAMEA9240862,EGAR00002846651,EGAX00002472136,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH861P,EGAN00003220843,SAMEA9240731,EGAR00002846652,EGAX00002472137,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH863P,EGAN00003220840,SAMEA9240728,EGAR00002846653,EGAX00002472138,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH864P,EGAN00003220807,SAMEA9240695,EGAR00002846654,EGAX00002472139,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH868P,EGAN00003220805,SAMEA9240693,EGAR00002846655,EGAX00002472140,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH870P,EGAN00003220803,SAMEA9240691,EGAR00002846656,EGAX00002472141,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH871P,EGAN00003220801,SAMEA9240689,EGAR00002846657,EGAX00002472142,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH873P,EGAN00003220800,SAMEA9240688,EGAR00002846658,EGAX00002472143,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH875P,EGAN00003221098,SAMEA9240986,EGAR00002846659,EGAX00002472144,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH876P,EGAN00003221100,SAMEA9240988,EGAR00002846660,EGAX00002472145,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH877P,EGAN00003220353,SAMEA9240240,EGAR00002846661,EGAX00002472146,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH878P,EGAN00003221099,SAMEA9240987,EGAR00002846662,EGAX00002472147,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH880P,EGAN00003221104,SAMEA9240992,EGAR00002846663,EGAX00002472148,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH881P,EGAN00003221102,SAMEA9240990,EGAR00002846664,EGAX00002472149,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH882P,EGAN00003220348,SAMEA9240235,EGAR00002846665,EGAX00002472150,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH883P,EGAN00003220349,SAMEA9240236,EGAR00002846666,EGAX00002472151,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH884P,EGAN00003220968,SAMEA9240856,EGAR00002846667,EGAX00002472152,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH886P,EGAN00003220350,SAMEA9240237,EGAR00002846668,EGAX00002472153,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH887P,EGAN00003221106,SAMEA9240994,EGAR00002846669,EGAX00002472154,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH888P,EGAN00003221109,SAMEA9240997,EGAR00002846670,EGAX00002472155,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH889P,EGAN00003220934,SAMEA9240822,EGAR00002846671,EGAX00002472156,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH890P,EGAN00003220914,SAMEA9240802,EGAR00002846672,EGAX00002472157,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH891P,EGAN00003220913,SAMEA9240801,EGAR00002846673,EGAX00002472158,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH892P,EGAN00003220918,SAMEA9240806,EGAR00002846674,EGAX00002472159,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH893P,EGAN00003220917,SAMEA9240805,EGAR00002846675,EGAX00002472160,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH894P,EGAN00003220356,SAMEA9240243,EGAR00002846676,EGAX00002472161,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH895P,EGAN00003220357,SAMEA9240244,EGAR00002846677,EGAX00002472162,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH897P,EGAN00003220367,SAMEA9240254,EGAR00002846678,EGAX00002472163,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH899P,EGAN00003220368,SAMEA9240255,EGAR00002846679,EGAX00002472164,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH900P,EGAN00003220707,SAMEA9240595,EGAR00002846680,EGAX00002472165,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH901P,EGAN00003220370,SAMEA9240257,EGAR00002846681,EGAX00002472166,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH902P,EGAN00003220740,SAMEA9240628,EGAR00002846682,EGAX00002472167,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH903P,EGAN00003220753,SAMEA9240641,EGAR00002846683,EGAX00002472168,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH904P,EGAN00003220752,SAMEA9240640,EGAR00002846684,EGAX00002472169,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH905P,EGAN00003220751,SAMEA9240639,EGAR00002846685,EGAX00002472170,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH906P,EGAN00003220686,SAMEA9240574,EGAR00002846686,EGAX00002472171,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH907P,EGAN00003220484,SAMEA9240384,EGAR00002846687,EGAX00002472172,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH908P,EGAN00003220491,SAMEA9240847,EGAR00002846688,EGAX00002472173,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH909P,EGAN00003220489,SAMEA9240845,EGAR00002846689,EGAX00002472174,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH910P,EGAN00003220472,SAMEA9240370,EGAR00002846690,EGAX00002472175,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH911P,EGAN00003220470,SAMEA9240368,EGAR00002846691,EGAX00002472176,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH912P,EGAN00003220616,SAMEA9240504,EGAR00002846692,EGAX00002472177,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH913P,EGAN00003220716,SAMEA9240604,EGAR00002846693,EGAX00002472178,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH914P,EGAN00003220714,SAMEA9240602,EGAR00002846694,EGAX00002472179,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH915P,EGAN00003220713,SAMEA9240601,EGAR00002846695,EGAX00002472180,EGAS00001005340,ENA-CHECKLIST=ERC000026
