sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00003220506,CGPLH573P_1,CGPLH573P_1.bam,EGAF00005322786
EGAN00003220507,CGPLH572P_1,CGPLH572P_1.bam,EGAF00005322785
EGAN00003220508,CGPLLU428P,CGPLLU428P.bam,EGAF00005323338
EGAN00003220509,CGPLLU586P,CGPLLU586P.bam,EGAF00005323496
EGAN00003220510,CGPLLU281P,CGPLLU281P.bam,EGAF00005323187
EGAN00003220511,CGPLH571P_1,CGPLH571P_1.bam,EGAF00005322784
EGAN00003220512,CGPLH520P_2,CGPLH520P_2.bam,EGAF00005322781
EGAN00003220513,CGPLH516P_2,CGPLH516P_2.bam,EGAF00005322780
EGAN00003220514,CGPLH583P_1,CGPLH583P_1.bam,EGAF00005322797
EGAN00003220515,CGPLH582P_1,CGPLH582P_1.bam,EGAF00005322796
EGAN00003220516,CGPLH581P_1,CGPLH581P_1.bam,EGAF00005322795
EGAN00003220517,CGPLH580P_1,CGPLH580P_1.bam,EGAF00005322794
EGAN00003220518,CGPLH584P_1,CGPLH584P_1.bam,EGAF00005322798
EGAN00003220519,CGPLH575P_1,CGPLH575P_1.bam,EGAF00005322788
EGAN00003220520,CGPLH579P_1,CGPLH579P_1.bam,EGAF00005322793
EGAN00003220521,CGPLH578P_1,CGPLH578P_1.bam,EGAF00005322792
EGAN00003220522,CGPLH577P_1,CGPLH577P_1.bam,EGAF00005322790
EGAN00003220523,CGPLH576P_1,CGPLH576P_1.bam,EGAF00005322789
EGAN00003220524,CGPLLU602P,CGPLLU602P.bam,EGAF00005323512
EGAN00003220525,CGPLLU392P,CGPLLU392P.bam,EGAF00005323302
EGAN00003220526,CGPLLU381P,CGPLLU381P.bam,EGAF00005323291
EGAN00003220527,CGPLLU308P,CGPLLU308P.bam,EGAF00005323217
EGAN00003220528,CGPLLU615P,CGPLLU615P.bam,EGAF00005323525
EGAN00003220529,CGPLLU411P,CGPLLU411P.bam,EGAF00005323321
EGAN00003220530,CGPLLU388P,CGPLLU388P.bam,EGAF00005323298
EGAN00003220531,CGPLLU433P,CGPLLU433P.bam,EGAF00005323343
EGAN00003220532,CGPLLU577P,CGPLLU577P.bam,EGAF00005323488
EGAN00003220533,CGPLLU390P,CGPLLU390P.bam,EGAF00005323300
EGAN00003220534,CGPLLU303P,CGPLLU303P.bam,EGAF00005323212
EGAN00003220535,CGPLLU567P,CGPLLU567P.bam,EGAF00005323478
EGAN00003220536,CGPLH586P_1,CGPLH586P_1.bam,EGAF00005322800
EGAN00003220537,CGPLH585P_1,CGPLH585P_1.bam,EGAF00005322799
