feature,classifier,weighting_function,top_genes,fold,auc,source_dir
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,2,0.8035714285714286,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,3,0.7202380952380952,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,4,0.8214285714285714,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,5,0.8363095238095238,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,6,0.7172619047619048,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,7,0.8154761904761905,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,8,0.6547619047619048,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,9,0.7440476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,1500,10,0.7261904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,1,0.8452380952380952,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,2,0.7440476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,3,0.5922619047619048,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,4,0.8214285714285714,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,5,0.8928571428571429,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,6,0.6785714285714286,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,7,0.7738095238095238,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,8,0.7321428571428571,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,9,0.8214285714285715,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,2500,10,0.7440476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,1,0.9285714285714286,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,2,0.886904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,3,0.8035714285714286,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,4,0.761904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,5,0.8690476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,6,0.5386904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,7,0.8095238095238095,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,8,0.7976190476190477,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,9,0.875,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,250,10,0.8273809523809524,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,1,0.7440476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,2,0.6785714285714286,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,3,0.6547619047619048,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,4,0.8452380952380952,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,5,0.8273809523809523,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,6,0.6428571428571429,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,7,0.8095238095238095,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,8,0.761904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,9,0.7797619047619048,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,25,10,0.6458333333333334,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,1,0.8392857142857143,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,2,0.7202380952380952,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,3,0.5625,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,4,0.7351190476190477,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,5,0.8690476190476191,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,6,0.6726190476190477,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,7,0.75,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,8,0.6011904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,9,0.7321428571428571,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,5000,10,0.6517857142857143,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,1,0.8511904761904762,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,2,0.7232142857142857,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,3,0.7470238095238096,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,4,0.8630952380952381,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,5,0.9613095238095237,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,6,0.5892857142857143,brca_crc_dd
fslr_coverage,K-Nearest Neighbors,mean_diff,500,7,0.7261904761904762,brca_crc_dd
